Year,Month,CO2 Emission
1981,Mar,116.473
1981,Apr,113.178
1981,May,115.107
1981,Jun,117.348
1981,Jul,118.903
1981,Aug,116.315
1981,Sep,113.487
1981,Oct,114.718
1981,Nov,110.621
1981,Dec,120.853
1982,Jan,111.095
1982,Feb,105.832
1982,Mar,115.756
1982,Apr,117.166
1982,May,114.467
1982,Jun,113.819
1982,Jul,114.521
1982,Aug,113.123
1982,Sep,109.834
1982,Oct,111.197
1982,Nov,112.45
1982,Dec,114.75
1983,Jan,107.056
1983,Feb,97.342
1983,Mar,118.863
1983,Apr,109.281
1983,May,114.806
1983,Jun,116.412
1983,Jul,115.006
1983,Aug,118.12
1983,Sep,113.911
1983,Oct,114.793
1983,Nov,112.349
1983,Dec,121.428
1984,Jan,114.815
1984,Feb,104.542
1984,Mar,116.514
1984,Apr,115.042
1984,May,120.139
1984,Jun,117.845
1984,Jul,118.902
1984,Aug,122.061
1984,Sep,112.518
1984,Oct,117.92
1984,Nov,114.588
1984,Dec,115.044
1985,Jan,116.437
1985,Feb,106.276
1985,Mar,118.768
1985,Apr,119.343
1985,May,122.776
1985,Jun,117.505
1985,Jul,121.754
1985,Aug,125.358
1985,Sep,112.937
1985,Oct,121.421
1985,Nov,116.266
1985,Dec,122.394
1986,Jan,117.285
1986,Feb,106.743
1986,Mar,123.482
1986,Apr,122.079
1986,May,125.322
1986,Jun,122.832
1986,Jul,128.998
1986,Aug,129.593
1986,Sep,118.161
1986,Oct,126.851
1986,Nov,119.988
1986,Dec,130.724
1987,Jan,121.635
1987,Feb,114.373
1987,Mar,125.246
1987,Apr,126.185
1987,May,129.344
1987,Jun,128.083
1987,Jul,133.173
1987,Aug,129.565
1987,Sep,125.854
1987,Oct,131.551
1987,Nov,122.368
1987,Dec,131.619
1988,Jan,128.296
1988,Feb,125.31
1988,Mar,136.189
1988,Apr,130.537
1988,May,130.398
1988,Jun,133.33
1988,Jul,131.656
1988,Aug,134.048
1988,Sep,128.995
1988,Oct,133.828
1988,Nov,129.664
1988,Dec,136.71
1989,Jan,128.918
1989,Feb,120.626
1989,Mar,136.676
1989,Apr,128.047
1989,May,133.387
1989,Jun,135.315
1989,Jul,132.658
1989,Aug,138.339
1989,Sep,127.045
1989,Oct,137.42
1989,Nov,131.177
1989,Dec,141.623
1990,Jan,132.13
1990,Feb,124.112
1990,Mar,136.18
1990,Apr,128.734
1990,May,136.301
1990,Jun,131.493
1990,Jul,134.462
1990,Aug,142.692
1990,Sep,124.65
1990,Oct,134.329
1990,Nov,130.118
1990,Dec,132.452
1991,Jan,128.475
1991,Feb,117.438
1991,Mar,132.303
1991,Apr,126.796
1991,May,131.096
1991,Jun,131.906
1991,Jul,135.301
1991,Aug,137.306
1991,Sep,127.507
1991,Oct,135.621
1991,Nov,127.697
1991,Dec,136.5
1992,Jan,130.575
1992,Feb,124.527
1992,Mar,133.244
1992,Apr,130.474
1992,May,134.711
1992,Jun,130.524
1992,Jul,136.463
1992,Aug,135.964
1992,Sep,128.072
1992,Oct,137.062
1992,Nov,128.529
1992,Dec,141.489
1993,Jan,126.057
1993,Feb,121.775
1993,Mar,136.49
1993,Apr,132.605
1993,May,137.131
1993,Jun,132.95
1993,Jul,137.27
1993,Aug,137.629
1993,Sep,133.998
1993,Oct,137.167
1993,Nov,135.548
1993,Dec,142.56
1994,Jan,131.53
1994,Feb,126.598
1994,Mar,137.517
1994,Apr,136.051
1994,May,139.108
1994,Jun,137.44
1994,Jul,139.608
1994,Aug,146.291
1994,Sep,134.497
1994,Oct,139.791
1994,Nov,134.281
1994,Dec,144.748
1995,Jan,136.024
1995,Feb,126.667
1995,Mar,143.425
1995,Apr,135.654
1995,May,142.402
1995,Jun,144.016
1995,Jul,139.946
1995,Aug,145.59
1995,Sep,139.9
1995,Oct,143.573
1995,Nov,139.771
1995,Dec,144.017
1996,Jan,139.743
1996,Feb,133.989
1996,Mar,144.146
1996,Apr,141.487
1996,May,148.116
1996,Jun,142.27
1996,Jul,148.11
1996,Aug,152.043
1996,Sep,137.942
1996,Oct,151.929
1996,Nov,141.13
1996,Dec,144.188
1997,Jan,140.131
1997,Feb,131.825
1997,Mar,145.337
1997,Apr,146.006
1997,May,149.482
1997,Jun,145.099
1997,Jul,153.022
1997,Aug,149.523
1997,Sep,141.952
1997,Oct,149.469
1997,Nov,142.892
1997,Dec,149.368
1998,Jan,144.658
1998,Feb,131.742
1998,Mar,147.41
1998,Apr,151.445
1998,May,148.087
1998,Jun,147.916
1998,Jul,156.498
1998,Aug,153.655
1998,Sep,146.782
1998,Oct,153.585
1998,Nov,145.581
1998,Dec,154.343
1999,Jan,144.707
1999,Feb,134.447
1999,Mar,152.607
1999,Apr,148.926
1999,May,154.708
1999,Jun,152.885
1999,Jul,157.498
1999,Aug,159.274
1999,Sep,148.566
1999,Oct,158.876
1999,Nov,149.733
1999,Dec,165.733
2000,Jan,146.201
2000,Feb,146.085
2000,Mar,155.354
2000,Apr,152.263
2000,May,158.52
2000,Jun,157.023
2000,Jul,162.879
2000,Aug,164.484
2000,Sep,153.129
2000,Oct,161.534
2000,Nov,152.833
2000,Dec,161.74
2001,Jan,150.547
2001,Feb,139.579
2001,Mar,157.025
2001,Apr,153.091
2001,May,160.005
2001,Jun,154.542
2001,Jul,164.193
2001,Aug,161.735
2001,Sep,149.5
2001,Oct,158.846
2001,Nov,150.345
2001,Dec,152.096
2002,Jan,152.348
2002,Feb,140.487
2002,Mar,158.831
2002,Apr,156.497
2002,May,162.441
2002,Jun,159.589
2002,Jul,164.205
2002,Aug,165.522
2002,Sep,152.946
2002,Oct,159.745
2002,Nov,156.984
2002,Dec,162.608
2003,Jan,151.486
2003,Feb,141.777
2003,Mar,157.913
2003,Apr,154.787
2003,May,160.096
2003,Jun,156.997
2003,Jul,163.592
2003,Aug,168.581
2003,Sep,155.153
2003,Oct,163.515
2003,Nov,156.837
2003,Dec,162.666
2004,Jan,157.164
2004,Feb,153.163
2004,Mar,164.533
2004,Apr,161.221
2004,May,165.486
2004,Jun,163.378
2004,Jul,169.78
2004,Aug,169.555
2004,Sep,160.535
2004,Oct,168.76
2004,Nov,162.127
2004,Dec,166.619
2005,Jan,161.372
2005,Feb,150.283
2005,Mar,167.523
2005,Apr,163.376
2005,May,171.07
2005,Jun,165.419
2005,Jul,172.746
2005,Aug,174.577
2005,Sep,161.38
2005,Oct,168.184
2005,Nov,163.948
2005,Dec,170.869
2006,Jan,166.278
2006,Feb,151.188
2006,Mar,170.908
2006,Apr,165.898
2006,May,171.87
2006,Jun,169.082
2006,Jul,176.748
2006,Aug,177.697
2006,Sep,164.496
2006,Oct,172.139
2006,Nov,163.188
2006,Dec,172.368
2007,Jan,166.539
2007,Feb,153.849
2007,Mar,170.15
2007,Apr,167.807
2007,May,175.933
2007,Jun,172.103
2007,Jul,178.716
2007,Aug,179.659
2007,Sep,166.603
2007,Oct,172.3
2007,Nov,166.54
2007,Dec,169.311
2008,Jan,160.708
2008,Feb,149.153
2008,Mar,164.511
2008,Apr,162.429
2008,May,168.608
2008,Jun,160.98
2008,Jul,166.711
2008,Aug,165.544
2008,Sep,149.45
2008,Oct,163.373
2008,Nov,153.346
2008,Dec,158.827
2009,Jan,154.714
2009,Feb,139.937
2009,Mar,158.401
2009,Apr,155.674
2009,May,156.92
2009,Jun,157.241
2009,Jul,160.418
2009,Aug,162.311
2009,Sep,150.389
2009,Oct,158.031
2009,Nov,150.458
2009,Dec,158.361
2010,Jan,150.904
2010,Feb,137.772
2010,Mar,158.173
2010,Apr,157.455
2010,May,161.833
2010,Jun,159.503
2010,Jul,165.279
2010,Aug,165.181
2010,Sep,158.126
2010,Oct,160.183
2010,Nov,152.968
2010,Dec,158.596
2011,Jan,151.851
2011,Feb,139.488
2011,Mar,157.837
2011,Apr,153.554
2011,May,158.642
2011,Jun,158.828
2011,Jul,160.186
2011,Aug,161.575
2011,Sep,153.192
2011,Oct,155.55
2011,Nov,149.536
2011,Dec,154.531
2012,Jan,145.566
2012,Feb,142.098
2012,Mar,152.38
2012,Apr,150.602
2012,May,157.033
2012,Jun,155.372
2012,Jul,157.855
2012,Aug,160.749
2012,Sep,147.241
2012,Oct,153.265
2012,Nov,147.265
2012,Dec,146.39
2013,Jan,146.517
2013,Feb,134.243
2013,Mar,153.078
2013,Apr,149.442
2013,May,156.356
2013,Jun,152.814
